"","dim1","dim2","dim3","n0","BG","NAG","AP","LAP","tmmn_lt","ph","pr_lt","soil_moisture_lt","height","Total_Bacteria_AB_g","TotalAB","koppen_clim","Sample"
"1",0.248937579803633,0.247311615638543,0.116026988963839,709,3.48245201189156,3.9432567046347,5.45884950889064,1.40254848226152,3.506666667,570,104.9666667,0.24597365,1365,137548387.096774,18.739486326595,"Temperate","194"
"2",0.0531830129805272,0.130079800719856,-0.0134398573346941,679,5.62527407413678,5.45584960431529,8.14469267102008,3.26953508195658,-1.543333333,480,49.36666667,0.47881067,70,29377049.1803279,17.195724321366,"Continental cold/Tundra","022"
"3",-0.226526889542594,0.178288044430867,-0.0894843731197456,550,6.79261291634027,5.37228932630964,8.0697447747236,3.16720407487536,-0.916666667,480,85.71666667,0.34630412,110,115764705.882353,18.5670703001585,"Continental hot summer","048"
"4",-0.255407447759764,0.116410960489326,-0.0319681281465598,547,5.3914610115644,4.42114656462371,7.25154074080622,0,-2.586666667,460,85.53333333,0.5661921,377,120533333.333333,18.6074369061106,"Continental hot summer","049"
"5",-0.231147571542542,0.247188556491116,-0.100266476866836,546,5.02382845962269,3.86187760564164,7.62651803290236,4.71891666793449,4.023333333,430,46.96666667,0.31328422,88,75773584.9056604,18.1432603189809,"Continental hot summer","130"
"6",-0.230809839633449,0.275479773736606,-0.0860438614471074,543,3.74645891991018,3.15291686327591,6.46160553660687,2.70034478716973,3.621666667,560,67.6,0.41535872,165,93481481.4814815,18.3532739263184,"Temperate","003"
"7",-0.0461314345361321,0.0349911893547528,0.0422244629553245,541,4.43877781875983,4.12916571292029,7.76252607076203,3.14767757517861,-1.543333333,480,49.36666667,0.47881067,70,10160000,16.1339690985398,"Continental cold/Tundra","021"
"8",-0.247303697605097,0.142948057473696,-0.109317441792559,540,3.56736030192036,4.0387161421093,8.31240264489911,1.9215022888477,3.621666667,560,67.6,0.41535872,165,28157205.2401747,17.1533138741114,"Temperate","002"
"9",-0.264963226267431,0.23000713778399,0.0347410038996185,507,3.30821604167076,3.12374853425863,6.92970826123444,2.76912974938469,3.378333333,450,50,0.47368315,25,77575757.5757576,18.166765546862,"Continental hot summer","169"
"10",0.332311365113072,0.114852375127307,0.101317417616161,507,5.78643303461739,6.09421144223333,7.03565118365678,2.23892868401445,4.343333333,570,95.85,0.28195915,1408,117473684.210526,18.5817249108116,"Temperate","219"
"11",-0.219119653241773,0.206419024615694,0.0852483720205373,501,4.77241897892514,4.205869486611,8.01475363045933,2.61412902305482,-4.798333333,620,64.81666667,0.26823387,1340,175600000,18.98371924486,"Continental hot summer","045"
"12",-0.0721896619813007,0.162743370168676,0.0614745353183499,501,7.011651669732,6.53584423012615,8.17903015587981,3.09220610605183,2.095,600,109.2166667,0.3288446,627,136216216.216216,18.7297540137267,"Continental hot summer","170"
"13",0.0789866147609715,0.0217822543020801,0.123217559077794,495,5.28696794785776,5.07190153277766,6.70529034702884,3.14835297398803,2.615,600,109.8166667,0.28195915,1996,117061224.489796,18.5782076506756,"Temperate","216"
"14",-0.224495983773535,0.342551023930815,-0.0162603199645706,493,3.6106522535762,3.22459812085866,6.53198296588566,2.73293073294522,0.563333333,470,97.5,0.407496159,1,102644067.79661,18.4467779189182,"Continental hot summer","053"
"15",0.0701400888508247,-0.0346437189355694,-0.0252148929057727,486,4.91161205467671,4.3659223480846,7.84420602839862,3.74734454440803,-4.083333333,530,47.88333333,0.31047678,200,9.6e+07,18.3798587598488,"Continental cold/Tundra","211"
"16",-0.29991984767616,0.161194836854717,0.0514674289482405,486,4.71862195122045,3.9411490254893,7.77375559951864,3.56480371781895,2.056666667,490,57.41666667,0.5084699,94,59586206.8965517,17.9029346941242,"Continental hot summer","214"
"17",0.0119224851045161,0.144191213654032,0.082047243507431,482,6.5003735674124,5.62380074695668,7.02893487401659,1.02950675154891,1.49,480,67.26666667,0.396933,198,34105263.1578947,17.3449623044711,"Continental hot summer","026"
"18",-0.125560365197716,0.249380833741263,0.0904387735481418,478,5.66424286343367,5.61401934488345,7.06522618276049,4.64714722966217,3.395,440,49.43333333,0.33850226,48,48380952.3809524,17.6946167690486,"Continental hot summer","127"
"19",-0.258844854168881,0.235562150372619,0.018108454049009,476,3.47325832734799,2.18722905513194,6.10737826556803,2.49709577053461,0.061666667,430,90.45,0.5713632,59,148923076.923077,18.8189404750541,"Continental hot summer","051"
"20",-0.039750911810982,-0.0138506298224036,0.05693076541311,475,5.31849726384541,5.3048678596455,7.01396921257526,2.43575314774436,1.49,480,67.26666667,0.396933,198,26272727.2727273,17.0840420113406,"Continental hot summer","025"
"21",-0.163261095403004,0.148948622038833,0.0982517471022391,469,4.76728007879176,4.43122632128707,5.99015303620341,2.15843047294137,2.615,570,109.8166667,0.28195915,1996,83891891.8918919,18.2450395385433,"Temperate","217"
"22",0.215454176567151,-0.0547365706250066,-0.0392202947778556,465,5.34376579476088,5.96979841670293,6.1671160977438,2.62299294702467,3.55,450,108.85,0.42302865,0,15849056.6037736,16.5786205993447,"Continental hot summer","182"
"23",0.0715307184630705,0.0819292670548115,0.122212514299408,454,5.41975230632239,6.34096076373152,7.73631757029256,3.89162533359608,3.506666667,570,104.9666667,0.24597365,1365,86333333.3333333,18.2737263425787,"Temperate","196"
"24",-0.198726002334888,0.254765459255646,0.0990767776780408,453,3.83835759683641,3.93955638195683,7.26353909798696,1.56648055673542,3.866666667,570,101.2166667,0.267352,998,57788235.2941176,17.8722957886055,"Temperate","174"
