"","BG","NAG","LAP","AP","swe_lt","soil_moisture_lt","pr_lt","gpp_lt","ph","nonTreeCover","height","tmmn_lt"
"121",134.8582489,77.72197553,41.40831894,2549.911508,83,0.31047678,47.88333333,0.015413043,530,65.04761905,200,-4.083333333
"122",59.32311648,65.52639511,23.53843678,688.8944855,85.21666667,0.32504314,49.73333333,0.012234783,470,63.95238095,267,-4.673333333
"123",76.34845598,101.8275485,23.75819219,1802.772683,83.08333333,0.32504314,49.6,0.012090217,470,58.42857143,265,-4.641666667
"124",111.0137858,50.47771654,34.33251758,2376.383042,39.41666667,0.5084699,57.41666667,0.019343913,490,42.28571429,94,2.056666667
"125",196.7429486,158.4772905,22.29766111,815.7151227,21.65,0.28195915,109.8166667,0.018023043,600,59.80952381,1996,2.615
"126",116.5989467,83.03440693,7.657538748,398.4757395,21.65,0.28195915,109.8166667,0.018023043,570,59.80952381,1996,2.615
"127",397.5947824,414.9219169,11.40970547,932.0679314,4.566666667,0.28195915,95.85,0.026606522,570,27.33333333,1408,4.343333333
"128",324.8486581,442.284352,8.38327345,1135.434699,4.566666667,0.28195915,95.85,0.027193478,570,27.33333333,1408,4.343333333
"129",103.3693877,128.1364537,26.12446541,350.0288567,26.16666667,0.2625227,71.91666667,0.02284087,490,27.66666667,871,3
"130",295.2924275,232.0637449,52.87498486,667.2958876,2.2,0.24777901,50.3,0.023758261,500,27.28571429,35,6.46
"131",75.41233312,162.8217969,14.20329376,3371.529637,0.65,0.209753,56.06666667,0.02254913,500,36.28571429,40,6.718333333
"132",187.3558126,488.4842256,62.34622917,6679.295774,18.45,0.21816559,94.83333333,0.022155652,560,49.52380952,779,3.511666667
"133",57.11050903,103.7516813,81.39558214,2970.632763,0,0.27024624,89.31666667,0.032560435,570,40.57142857,426,7.978333333
"134",403.1325961,903.3785569,49.03670024,5832.238603,0.35,0.27024624,90.81666667,0.036036522,640,46.71428571,707,6.208333333
"135",227.9187973,174.2292243,28.14707972,2921.388086,7.666666667,0.27594584,104.75,0.029903043,550,27.42857143,832,4.69
"136",384.2691237,420.8519041,131.8288748,4248.700128,7.666666667,0.27594584,104.75,0.029903043,550,27.42857143,832,4.69
"137",285.2264198,254.9365943,13.10920192,1137.697152,9.683333333,0.24228925,104.05,0.030256087,570,31.76190476,1461,3.291666667
"138",1026.253041,533.4340115,21.28585034,2773.205346,14.18333333,0.24228925,104.5666667,0.030968261,570,11.95238095,1496,2.898333333
"139",35.8751195,40.0377525,4.113228256,288.1937495,55.81666667,0.5278016,56.83333333,0,530,69.47619048,170,0.676666667
"140",102.603739,155.2047226,36.9982697,6439.904252,55.81666667,0.5278016,56.83333333,0,530,69.47619048,170,0.676666667
